"Title","SPPI: 7112000000: ENGINEERING SERVICES & RELATED SERVICES"
"CDID","KHY7"
"Source dataset ID","SPPI"
"PreUnit",""
"Unit",""
"Release date","21-10-2020"
"Next release","20 January 2021"
"Important notes",
"2010","100.0"
"2011","100.8"
"2012","103.0"
"2013","104.9"
"2014","107.6"
"2015","108.4"
"2016","109.2"
"2017","105.6"
"2018","107.1"
"2019","109.0"
"2010 Q1","100.1"
"2010 Q2","100.1"
"2010 Q3","99.8"
"2010 Q4","100.1"
"2011 Q1","101.2"
"2011 Q2","100.8"
"2011 Q3","100.5"
"2011 Q4","100.7"
"2012 Q1","102.6"
"2012 Q2","103.6"
"2012 Q3","102.8"
"2012 Q4","103.0"
"2013 Q1","103.7"
"2013 Q2","105.0"
"2013 Q3","105.2"
"2013 Q4","105.6"
"2014 Q1","107.0"
"2014 Q2","107.7"
"2014 Q3","107.8"
"2014 Q4","107.9"
"2015 Q1","108.0"
"2015 Q2","108.7"
"2015 Q3","108.3"
"2015 Q4","108.5"
"2016 Q1","108.4"
"2016 Q2","109.2"
"2016 Q3","109.6"
"2016 Q4","109.5"
"2017 Q1","105.1"
"2017 Q2","104.9"
"2017 Q3","106.3"
"2017 Q4","106.1"
"2018 Q1","106.5"
"2018 Q2","106.5"
"2018 Q3","107.5"
"2018 Q4","108.0"
"2019 Q1","108.4"
"2019 Q2","108.6"
"2019 Q3","108.8"
"2019 Q4","110.2"
"2020 Q1","111.1"
"2020 Q2","109.5"
"2020 Q3","109.3"
